StatZone,HoloSurvKnwn,HoloSurvNdDesc
641,מוכר,זקן סיעודי
641,מוכר,זקן סיעודי
641,מוכר,זקן סיעודי
642,מוכר,זקן סיעודי
642,מוכר,זקן סיעודי
642,מוכר,זקן סיעודי
642,מוכר,זקן סיעודי
642,מוכר,זקן סיעודי
642,מוכר,זקן סיעודי
642,מוכר,זקן סיעודי
642,מוכר,בעיות הנובעות מזיקנה
613,מוכר,בעיות הנובעות מזיקנה
633,מוכר,בעיות הנובעות מזיקנה
633,מוכר,בעיות הנובעות מזיקנה
633,מוכר,זקן סיעודי
631,מוכר,זקן סיעודי
631,מוכר,זקן סיעודי
631,מוכר,זקן סיעודי
631,מוכר,בעיות הנובעות מזיקנה
631,מוכר,בעיות הנובעות מזיקנה
631,מוכר,בעיות הנובעות מזיקנה
634,מוכר,זקן סיעודי
641,מוכר,זקן סיעודי
641,מוכר,זקן סיעודי
641,מוכר,בעיות הנובעות מזיקנה
641,מוכר,זקן סיעודי
641,מוכר,זקן סיעודי
641,מוכר,זקן סיעודי
641,מוכר,בעיות הנובעות מזיקנה
641,מוכר,זקן סיעודי
641,מוכר,בעיות הנובעות מזיקנה
641,מוכר,זקן סיעודי
641,מוכר,בעיות הנובעות מזיקנה
641,מוכר,בעיות הנובעות מזיקנה
641,מוכר,בעיות הנובעות מזיקנה
631,מוכר,זקן סיעודי
631,מוכר,זקן סיעודי
631,מוכר,בעיות הנובעות מזיקנה
631,מוכר,זקן סיעודי
631,מוכר,בעיות הנובעות מזיקנה
631,מוכר,זקן סיעודי
631,מוכר,זקן סיעודי
631,מוכר,בעיות הנובעות מזיקנה
631,מוכר,זקן סיעודי
631,מוכר,בעיות הנובעות מזיקנה
631,מוכר,זקן סיעודי
622,מוכר,בעיות הנובעות מרמת הכנסה נמוכה או מירידה ברמת הכנסה
642,מוכר,זקן סיעודי
641,מוכר,בעיות הנובעות מזיקנה
642,מוכר,זקן סיעודי
643,מוכר,זקן סיעודי
642,מוכר,בעיות הנובעות מרמת הכנסה נמוכה או מירידה ברמת הכנסה
641,מוכר,בעיות הנובעות מזיקנה
642,מוכר,זקן סיעודי
642,מוכר,בעיות הנובעות מזיקנה
642,מוכר,זקן סיעודי
621,מוכר,בעיות הנובעות מרמת הכנסה נמוכה או מירידה ברמת הכנסה
631,מוכר,זקן סיעודי
631,מוכר,זקן סיעודי
631,מוכר,זקן סיעודי
631,מוכר,בעיות הנובעות מזיקנה
631,מוכר,זקן סיעודי
613,מוכר,זקן סיעודי
613,מוכר,זקן סיעודי
613,מוכר,זקן סיעודי
613,מוכר,
613,מוכר,זקן סיעודי
613,מוכר,בעיות הנובעות מזיקנה
613,מוכר,זקן סיעודי
613,מוכר,זקן סיעודי
613,מוכר,זקן סיעודי
613,מוכר,זקן סיעודי
634,מוכר,זקן סיעודי
631,מוכר,זקן סיעודי
634,מוכר,זקן סיעודי
634,מוכר,זקן סיעודי
634,מוכר,זקן סיעודי
631,מוכר,בעיות הנובעות מזיקנה
631,מוכר,בעיות הנובעות מזיקנה
634,מוכר,זקן סיעודי
634,מוכר,בעיות הנובעות מזיקנה
634,מוכר,זקן סיעודי
641,מוכר,בעיות הנובעות מזיקנה
634,מוכר,זקן סיעודי
634,מוכר,בעיות הנובעות מזיקנה
634,מוכר,זקן סיעודי
634,מוכר,זקן סיעודי
634,מוכר,בעיות הנובעות מזיקנה
634,מוכר,בעיות הנובעות מזיקנה
632,מוכר,זקן סיעודי
632,מוכר,בעיות הנובעות מזיקנה
632,מוכר,זקן סיעודי
631,מוכר,זקן סיעודי
631,מוכר,בעיות הנובעות מזיקנה
631,מוכר,זקן סיעודי
631,מוכר,ניהול לקוי של משק הבית
631,מוכר,בעיות הנובעות מזיקנה
631,מוכר,זקן סיעודי
631,מוכר,זקן סיעודי
631,מוכר,זקן סיעודי
631,מוכר,זקן סיעודי
631,מוכר,זקן סיעודי
631,מוכר,זקן סיעודי
631,מוכר,זקן סיעודי
631,מוכר,בעיות הנובעות מזיקנה
631,מוכר,זקן סיעודי
631,מוכר,בעיות הנובעות ממומים ו/או מגבלות פיזיות (נכות)
631,מוכר,
631,מוכר,בעיות הנובעות ממומים ו/או מגבלות פיזיות (נכות)
631,מוכר,זקן סיעודי
631,מוכר,זקן סיעודי
631,מוכר,זקן סיעודי
631,מוכר,זקן סיעודי
612,מוכר,זקן סיעודי
612,מוכר,זקן סיעודי
633,מוכר,בעיות הנובעות מזיקנה
633,מוכר,בעיות הנובעות מזיקנה
633,מוכר,זקן סיעודי
633,מוכר,זקן סיעודי
633,מוכר,זקן סיעודי
633,מוכר,זקן סיעודי
633,מוכר,בעיות הנובעות מזיקנה
633,מוכר,זקן סיעודי
633,מוכר,זקן סיעודי
633,מוכר,זקן סיעודי
633,מוכר,זקן סיעודי
633,מוכר,זקן סיעודי
633,מוכר,זקן סיעודי
633,מוכר,זקן סיעודי
633,מוכר,בעיות הנובעות מזיקנה
633,מוכר,זקן סיעודי
633,מוכר,זקן סיעודי
633,מוכר,זקן סיעודי
633,מוכר,זקן סיעודי
633,מוכר,בעיות הנובעות מזיקנה
633,מוכר,בעיות הנובעות מזיקנה
633,מוכר,זקן סיעודי
633,מוכר,זקן סיעודי
633,מוכר,בעיות הנובעות מזיקנה
633,מוכר,זקן סיעודי
633,מוכר,זקן סיעודי
633,מוכר,בעיות הנובעות מזיקנה
633,מוכר,בעיות הנובעות מזיקנה
633,מוכר,זקן סיעודי
633,מוכר,זקן סיעודי
633,מוכר,זקן סיעודי
633,מוכר,בעיות הנובעות מזיקנה
633,מוכר,זקן סיעודי
633,מוכר,זקן סיעודי
633,מוכר,זקן סיעודי
633,מוכר,זקן סיעודי
633,מוכר,זקן סיעודי
633,מוכר,זקן סיעודי
633,מוכר,זקן סיעודי
633,מוכר,זקן סיעודי
633,מוכר,זקן סיעודי
633,מוכר,זקן סיעודי
633,מוכר,זקן סיעודי
633,מוכר,זקן סיעודי
633,מוכר,זקן סיעודי
633,מוכר,בעיות הנובעות מזיקנה
633,מוכר,זקן סיעודי
633,מוכר,זקן סיעודי
633,מוכר,בעיות הנובעות מזיקנה
633,מוכר,זקן סיעודי
633,מוכר,בעיות הנובעות מזיקנה
633,מוכר,זקן סיעודי
633,מוכר,זקן סיעודי
633,מוכר,בעיות הנובעות מזיקנה
633,מוכר,בעיות הנובעות מזיקנה
633,מוכר,זקן סיעודי
633,מוכר,בעיות הנובעות ממומים ו/או מגבלות פיזיות (נכות)
633,מוכר,זקן סיעודי
633,מוכר,זקן סיעודי
633,מוכר,זקן סיעודי
632,מוכר,זקן סיעודי
632,מוכר,זקן סיעודי
632,מוכר,זקן סיעודי
632,מוכר,זקן סיעודי
632,מוכר,זקן סיעודי
631,מוכר,זקן סיעודי
631,מוכר,בעיות הנובעות מזיקנה
631,מוכר,בעיות הנובעות ממחלות אקוטיות או כרוניות (למעט בריאות הנפש)
631,מוכר,זקן סיעודי
631,מוכר,זקן סיעודי
631,מוכר,זקן סיעודי
631,מוכר,זקן סיעודי
631,מוכר,זקן סיעודי
632,מוכר,זקן סיעודי
632,מוכר,זקן סיעודי
632,מוכר,
622,מוכר,זקן סיעודי
622,מוכר,זקן סיעודי
623,מוכר,זקן סיעודי
622,מוכר,בעיות הנובעות מרמת הכנסה נמוכה או מירידה ברמת הכנסה
622,מוכר,זקן סיעודי
622,מוכר,זקן סיעודי
622,מוכר,בעיות הנובעות מזיקנה
622,מוכר,זקן סיעודי
632,מוכר,זקן סיעודי
612,מוכר,זקן סיעודי
642,מוכר,בעיות הנובעות מזיקנה
613,מוכר,זקן סיעודי
632,מוכר,זקן סיעודי
634,מוכר,זקן סיעודי
634,מוכר,ניצול שואה
634,מוכר,זקן סיעודי
632,מוכר,זקן סיעודי
632,מוכר,זקן סיעודי
632,מוכר,זקן סיעודי
631,מוכר,זקן סיעודי
631,מוכר,בעיות הנובעות מזיקנה
631,מוכר,זקן סיעודי
631,מוכר,זקן סיעודי
631,מוכר,בעיות הנובעות מזיקנה
631,מוכר,בעיות הנובעות מזיקנה
631,מוכר,זקן סיעודי
631,מוכר,זקן סיעודי
631,מוכר,זקן סיעודי
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
632,לא מוכר,
632,לא מוכר,
632,לא מוכר,
632,לא מוכר,
631,לא מוכר,
631,לא מוכר,
632,לא מוכר,
632,לא מוכר,
632,לא מוכר,
632,לא מוכר,
632,לא מוכר,
621,לא מוכר,
621,לא מוכר,
621,לא מוכר,
621,לא מוכר,
621,לא מוכר,
621,לא מוכר,
642,לא מוכר,
631,לא מוכר,
634,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
634,לא מוכר,
634,לא מוכר,
622,לא מוכר,
622,לא מוכר,
622,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
622,לא מוכר,
622,לא מוכר,
631,לא מוכר,
622,לא מוכר,
622,לא מוכר,
622,לא מוכר,
631,לא מוכר,
622,לא מוכר,
622,לא מוכר,
631,לא מוכר,
622,לא מוכר,
622,לא מוכר,
622,לא מוכר,
631,לא מוכר,
621,לא מוכר,
621,לא מוכר,
621,לא מוכר,
621,לא מוכר,
631,לא מוכר,
621,לא מוכר,
621,לא מוכר,
621,לא מוכר,
621,לא מוכר,
621,לא מוכר,
643,לא מוכר,
643,לא מוכר,
643,לא מוכר,
634,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
642,לא מוכר,
642,לא מוכר,
642,לא מוכר,
631,לא מוכר,
631,לא מוכר,
622,לא מוכר,
622,לא מוכר,
613,לא מוכר,
613,לא מוכר,
632,לא מוכר,
613,לא מוכר,
613,לא מוכר,
613,לא מוכר,
613,לא מוכר,
613,לא מוכר,
613,לא מוכר,
632,לא מוכר,
632,לא מוכר,
613,לא מוכר,
613,לא מוכר,
632,לא מוכר,
632,לא מוכר,
632,לא מוכר,
632,לא מוכר,
613,לא מוכר,
613,לא מוכר,
613,לא מוכר,
632,לא מוכר,
632,לא מוכר,
632,לא מוכר,
632,לא מוכר,
642,לא מוכר,
642,לא מוכר,
642,לא מוכר,
642,לא מוכר,
621,לא מוכר,
622,לא מוכר,
622,לא מוכר,
622,לא מוכר,
622,לא מוכר,
622,לא מוכר,
622,לא מוכר,
622,לא מוכר,
622,לא מוכר,
622,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
642,לא מוכר,
622,לא מוכר,
642,לא מוכר,
642,לא מוכר,
622,לא מוכר,
622,לא מוכר,
642,לא מוכר,
622,לא מוכר,
642,לא מוכר,
622,לא מוכר,
622,לא מוכר,
642,לא מוכר,
642,לא מוכר,
642,לא מוכר,
642,לא מוכר,
642,לא מוכר,
622,לא מוכר,
622,לא מוכר,
642,לא מוכר,
613,לא מוכר,
632,לא מוכר,
644,לא מוכר,
611,לא מוכר,
633,לא מוכר,
634,לא מוכר,
634,לא מוכר,
634,לא מוכר,
634,לא מוכר,
634,לא מוכר,
634,לא מוכר,
634,לא מוכר,
612,לא מוכר,
621,לא מוכר,
613,לא מוכר,
621,לא מוכר,
613,לא מוכר,
613,לא מוכר,
621,לא מוכר,
621,לא מוכר,
621,לא מוכר,
613,לא מוכר,
613,לא מוכר,
621,לא מוכר,
621,לא מוכר,
621,לא מוכר,
613,לא מוכר,
621,לא מוכר,
621,לא מוכר,
621,לא מוכר,
613,לא מוכר,
621,לא מוכר,
621,לא מוכר,
633,לא מוכר,
632,לא מוכר,
632,לא מוכר,
632,לא מוכר,
643,לא מוכר,
621,לא מוכר,
621,לא מוכר,
621,לא מוכר,
622,לא מוכר,
621,לא מוכר,
621,לא מוכר,
622,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
634,לא מוכר,
634,לא מוכר,
634,לא מוכר,
641,לא מוכר,
641,לא מוכר,
634,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
632,לא מוכר,
632,לא מוכר,
632,לא מוכר,
632,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
642,לא מוכר,
642,לא מוכר,
642,לא מוכר,
642,לא מוכר,
642,לא מוכר,
642,לא מוכר,
642,לא מוכר,
642,לא מוכר,
642,לא מוכר,
613,לא מוכר,
613,לא מוכר,
632,לא מוכר,
641,לא מוכר,
641,לא מוכר,
621,לא מוכר,
621,לא מוכר,
623,לא מוכר,
642,לא מוכר,
642,לא מוכר,
642,לא מוכר,
642,לא מוכר,
642,לא מוכר,
642,לא מוכר,
642,לא מוכר,
642,לא מוכר,
642,לא מוכר,
642,לא מוכר,
613,לא מוכר,
613,לא מוכר,
613,לא מוכר,
613,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
634,לא מוכר,
634,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
622,לא מוכר,
622,לא מוכר,
622,לא מוכר,
622,לא מוכר,
622,לא מוכר,
632,לא מוכר,
634,לא מוכר,
622,לא מוכר,
622,לא מוכר,
642,לא מוכר,
641,לא מוכר,
641,לא מוכר,
642,לא מוכר,
642,לא מוכר,
642,לא מוכר,
642,לא מוכר,
641,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
634,לא מוכר,
631,לא מוכר,
613,לא מוכר,
613,לא מוכר,
613,לא מוכר,
613,לא מוכר,
613,לא מוכר,
613,לא מוכר,
613,לא מוכר,
613,לא מוכר,
613,לא מוכר,
613,לא מוכר,
613,לא מוכר,
613,לא מוכר,
613,לא מוכר,
613,לא מוכר,
613,לא מוכר,
634,לא מוכר,
634,לא מוכר,
634,לא מוכר,
634,לא מוכר,
634,לא מוכר,
634,לא מוכר,
631,לא מוכר,
631,לא מוכר,
634,לא מוכר,
634,לא מוכר,
634,לא מוכר,
634,לא מוכר,
631,לא מוכר,
631,לא מוכר,
634,לא מוכר,
631,לא מוכר,
634,לא מוכר,
634,לא מוכר,
634,לא מוכר,
634,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
641,לא מוכר,
634,לא מוכר,
634,לא מוכר,
634,לא מוכר,
634,לא מוכר,
634,לא מוכר,
633,לא מוכר,
633,לא מוכר,
613,לא מוכר,
623,לא מוכר,
632,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
612,לא מוכר,
612,לא מוכר,
632,לא מוכר,
641,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
633,לא מוכר,
622,לא מוכר,
613,לא מוכר,
632,לא מוכר,
632,לא מוכר,
632,לא מוכר,
632,לא מוכר,
632,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
632,לא מוכר,
632,לא מוכר,
632,לא מוכר,
632,לא מוכר,
623,לא מוכר,
622,לא מוכר,
622,לא מוכר,
623,לא מוכר,
623,לא מוכר,
623,לא מוכר,
623,לא מוכר,
623,לא מוכר,
623,לא מוכר,
622,לא מוכר,
622,לא מוכר,
623,לא מוכר,
622,לא מוכר,
623,לא מוכר,
622,לא מוכר,
622,לא מוכר,
622,לא מוכר,
622,לא מוכר,
632,לא מוכר,
621,לא מוכר,
621,לא מוכר,
621,לא מוכר,
621,לא מוכר,
621,לא מוכר,
621,לא מוכר,
621,לא מוכר,
621,לא מוכר,
612,לא מוכר,
612,לא מוכר,
612,לא מוכר,
632,לא מוכר,
632,לא מוכר,
612,לא מוכר,
612,לא מוכר,
612,לא מוכר,
612,לא מוכר,
612,לא מוכר,
613,לא מוכר,
622,לא מוכר,
622,לא מוכר,
621,לא מוכר,
621,לא מוכר,
621,לא מוכר,
632,לא מוכר,
634,לא מוכר,
632,לא מוכר,
632,לא מוכר,
632,לא מוכר,
632,לא מוכר,
632,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
631,לא מוכר,
